<>,,,,,,,,,,
Number of Respondents:,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Number of Respondents,Demographic Title,Positive,Neutral,Negative
I feel that the Commander will use the information from this survey to improve the command.,1,3,6,17,8,35,,,,
Leadership Support - Immediate Superior,,,,,,210,All Respondents,85%,11%,4%
I have trust and confidence in the first cadet in my chain of command.,1,3,2,13,16,35,,,,
The first cadet in my chain of command listens to what I have to say.,0,2,2,15,16,35,,,,
The first cadet in my chain of command treats me with respect.,0,0,1,15,19,35,,,,
The first cadet in my chain of command cares about my eprsonal well-being.,0,0,7,11,17,35,,,,
The first cadet in my cahin of command provides me with opportunities to demonstrate my leadership skills.,0,3,9,13,10,35,,,,
I would not experience reprisal or retaliation from the first cadet in my chain of command if I went to them with concerns.,0,0,2,13,20,35,,,,
Morale,,,,,,70,All Respondents,51%,33%,16%
"Overall, how would you rate the current level of morale among cadets in your current unit?",0,5,11,17,2,35,,,,
"Overall, how would you rate your own current level of morale?",2,4,12,14,3,35,,,,
Safe Storage for Lethal Means,,,,,,35,All Respondents,91%,0%,9%
"If I had a firearm in my living space, I would store it unloaded or use a secure storage container/device.",3,0,0,6,26,35,,,,
Transformational Leadership - Commander,,,,,,105,All Respondents,58%,20%,22%
My unit's commander communicates a clear and motivating vision of the future.,3,8,4,12,8,35,,,,
My unit's commander supports and encourages the professional development of people in my current unit.,2,4,8,12,9,35,,,,
My unit's commander encourages people in my current unit to think about problems in new ways.,2,4,9,12,8,35,,,,
Transformational Leadership – Senior NCO/SEL,,,,,,105,All Respondents,70%,23%,8%
My SEL/1SGT communicates a clear and motivating vision of the future.,0,3,7,15,10,35,,,,
My SEL/1SGT supports and encourages the professional development of people in my current unit.,0,2,8,14,11,35,,,,
My SEL/1SGT encourages people in my current unit to think about problems in new ways.,1,2,9,12,11,35,,,,
Work-Life Balance,,,,,,69,All Respondents,49%,29%,22%
I can easily balance the demands of cadet life.,2,3,12,12,6,35,,,,
I have sufficient time in my duty day to conduct my core duties.,1,9,8,11,5,34,,,,
Recognition,,,,,,103,All Respondents,54%,28%,17%
I am recognized/rewarded for my duty performance.,3,4,14,10,4,35,,,,
Participation for community service is recognized.,1,5,12,13,3,34,,,,
The Commander understands what my job entails.,2,3,3,20,6,34,,,,
Alcohol Impairing Memory,,,,,,35,All Respondents,86%,14%,0%
"Thinking about your alcohol use in the last four months, how often have you been unable to remember what happened the night before because you had been drinking?",30,4,1,0,0,35,,,,
Binge Drinking,,,,,,35,All Respondents,66%,14%,20%
"Thinking about your alcohol use in the last four months, how often have you had five or more drinks on one occasion?",23,2,3,7,0,35,,,,
Passive Leadership - Commander,,,,,,70,All Respondents,37%,27%,36%
My unit's commander will not take action until negative behaviors become bigger problems.,2,7,12,9,5,35,,,,
My unit's commander does not address problems brought to their attention.,6,11,7,8,3,35,,,,
Passive Leadership - Senior NCO/SEL,,,,,,70,All Respondents,71%,16%,13%
My unit's commander will not take action until negative behaviors become bigger problems.,6,17,7,4,1,35,,,,
My unit's commander does not address problems brought to their attention.,13,14,4,3,1,35,,,,
Racially Harassing Behaviors,,,,,,175,All Respondents,85%,,15%
"How often does someone from your current unit make you uncomfortable, angry, or upset by telling racial/ethnic jokes?",27,4,3,1,0,35,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by expressing stereotypes about racial/ethnic groups?",27,5,2,1,0,35,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by using offensive racial/ethnic terms?",27,4,2,2,0,35,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by excluding you because of your race/ethnicity?",34,0,1,0,0,35,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by showing you a lack of respect because of your race/ethnicity?",33,1,1,0,0,35,,,,
Sexist Behaviors,,,,,,70,All Respondents,64%,,36%
"How often does someone from your current unit mistreat, exclude, or insult you because of your gender?",29,5,1,0,0,35,,,,
"How often does someone from your current unit use derogatory slurs, make comments, or tell jokes concerning sexual orientation or gender identity?",16,10,5,4,0,35,,,,
Sexually Harassing Behaviors,,,,,,173,All Respondents,86%,,14%
"How often does someone from your current unit tell sexual jokes that make you uncomfortable, angry, or upset?",27,5,2,1,0,35,,,,
"How often does someone from your current unit embaress, anger, or upset you by suggesting that you do not act how a man or a woman is supposed to act?",26,6,2,1,0,35,,,,
"How often does someone from your current unit display, show, or send sexually explicit materials (such as pictures or videos) that make you uncomfortable, angry, or upset?",32,1,1,0,0,34,,,,
"How often does someone from your current unit make sexual comments about your appearance or body that make you uncomfortable, angry, or upset?",31,3,1,0,0,35,,,,
How often does someone from your current unit intentionally touch you in unwanted sexual ways?,32,2,0,0,0,34,,,,
Stress,,,,,,45,All Respondents,69%,,31%
"In the past four months, how often have you felt nervous or stressed?",5,2,3,0,0,10,,,,
"In the past four months, how often have you found that you could not cope with all of the things you had to do?",9,15,9,2,0,35,,,,
Toxic Leadership - Immediate Superior,,,,,,140,All Respondents,80%,10%,10%
The first cadet in my chain of command ridicules people in my unit,16,16,1,1,1,35,,,,
The first cadet in my chain of command acts only in the best interest of their own advancement.,17,11,3,1,3,35,,,,
The first cadet in my chain of command ignores input from people in my current unit that they do not agree with.,17,11,4,2,1,35,,,,
The cadet immediately above me in my cadet chain of command sets the right example with his/her actions.,2,3,6,14,10,35,,,,
Toxic Leadership - Senior NCO/SEL,,,,,,105,All Respondents,89%,4%,8%
My unit's SEL/1SGT ridicules people in my unit.,15,17,2,1,0,35,,,,
My unit's SEL/1SGT acts only in the best interest of their own advancement.,17,13,1,3,1,35,,,,
My unit's SEL/1SGT ignores input from people in my current unit that they do not agree with.,18,13,1,3,0,35,,,,
Toxic Leadership - Unit Commander,,,,,,105,All Respondents,80%,12%,8%
My unit's commader ridicules people in my unit.,19,14,2,0,0,35,,,,
My unit's commader acts only in the best interest of their own advancement.,13,12,5,2,3,35,,,,
My unit's commader ignores input from people in my current unit that they do not agree with.,14,12,6,3,0,35,,,,
Workplace Hostility,,,,,,140,All Respondents,44%,33%,23%
How often does someone from your current unit intentionally interfere with your work performance?,17,10,8,0,0,35,,,,
How often does someone from your current unit take credit for work or ideas that were yours?,21,10,3,1,0,35,,,,
"How often does someone from your current unit use insults, sarcasm, or gestures to humiliate you?",13,13,6,3,0,35,,,,
How often does someone from your current unit yell when they are angry with you?,11,13,9,2,0,35,,,,
Support - Unit Advisors,,,,,,35,All Respondents,57%,29%,14%
I trust that my well-being is supported by my Unit Military Advisor/Operations Advisor,0,5,10,12,8,35,,,,
,,,,,,,Protective Factors,68%,19%,14%
,,,,,,,Risk Factors,71%,16%,18%
